source,target,weight
Jo,Meg,72
Beth,Jo,34
Jo,Laurie,19
Amy,Meg,18
Amy,Jo,17
Jo,Mrs. March,15
Amy,Beth,12
Beth,Meg,10
Laurie,Mother,9
Laurie,Meg,7
Amy,the villain of the piece,6
"a tall , motherly lady",the most splendid mother in the world,6
Jo,the boy,6
Beth,Mother,5
Jo,the young lady,5
Beth,sir,5
Meg,sir,5
a gentleman,sir,5
Hannah,Meg,4
Beth,the girls,4
Jo,"the tall lad , whom she had imagined seventeen already",4
Hannah,dear,4
Jo,Mrs. Ma rch,3
Hannah,dearies,3
Jo,Mrs. Gardin er,3
Laurie,"the tall lad , whom she had imagined seventeen already",3
Mother,These girls,3
Jo,Marmee,3
Meg,the villain of the piece,2
Meg,the witch,2
Amy,her mother,2
Jo,the girls,2
Mrs. March,the poor woman,2
Don Pedro,Zara,2
Mrs. March,That boy,2
Jo,Mrs. Gardiner,2
Marmee,Mrs. Gardiner,2
Marmee,Mother,2
Meg,dearies,2
Hannah,girls,2
the boy,the young lady,2
La urie,Laurie,2
Hannah,Jo,2
Meg,Mrs. March,2
Mother,sir,2
These girls,an old woman,2
Father,the old woman,2
Father,Marmee,2
Grandpa,That boy,2
Grandpa,Mr. Brooke,2
Mr. Brooke,someone,2
boys,someone,2
boys,girls,2
That boy,girls,2
Jo,Mother,2
Beth,The girl,2
A fellow,your grandpa,2
The doctor,your grandpa,2
sir,the poor woman,2
Beth,your mother,2
Jo,young lady,2
Laurie,young lady,2
Italians,Jo,2
Italians,Laurie,2
Meg,"a tall , motherly lady",1
Mrs. Ma rch,the most splendid mother in the world,1
Meg,her mother,1
Amy,Mrs. March,1
Jo,the poor woman,1
the girls,the poor things,1
Meg,the poor things,1
Don Pedro,The servant,1
Amy,Hannah,1
Meg,That boy,1
Meg,girls,1
Jo,La urie,1
Meg,child,1
